faa,name,lat,lon,alt,tz,dst
04G,Lansdowne Airport,41.1304722,-80.6195833,1044,-5.0,A
06A,Moton Field Municipal Airport,32.4605722,-85.6800278,264,-5.0,A
06C,Schaumburg Regional,41.9893408,-88.1012428,801,-6.0,A
06N,Randall Airport,41.431912,-74.3915611,523,-5.0,A
09J,Jekyll Island Airport,31.0744722,-81.4277778,11,-4.0,A
0A9,Elizabethton Municipal Airport,36.3712222,-82.1734167,1593,-4.0,A
0G6,Williams County Airport,41.4673056,-84.5067778,730,-5.0,A
0G7,Finger Lakes Regional Airport,42.8835647,-76.7812318,492,-5.0,A
0P2,Shoestring Aviation Airfield,39.7948244,-76.6471914,1000,-5.0,U
0S9,Jefferson County Intl,48.053808600000004,-122.8106436,108,-8.0,A
0W3,Harford County Airport,39.5668378,-76.2024028,409,-5.0,A
10C,Galt Field Airport,42.4028889,-88.3751111,875,-6.0,U
17G,Port Bucyrus-Crawford County Airport,40.7815556,-82.9748056,1003,-5.0,A
19A,Jackson County Airport,34.1758638,-83.5615972,951,-4.0,U
1A3,Martin Campbell Field Airport,35.0158056,-84.3468333,1789,-4.0,A
1B9,Mansfield Municipal,42.0001331,-71.1967714,122,-5.0,A
1C9,Frazier Lake Airpark,54.013333333333335,-124.76833333333332,152,-8.0,A
1CS,Clow International Airport,41.6959744,-88.1292306,670,-6.0,U
1G3,Kent State Airport,41.1513889,-81.4151111,1134,-4.0,A
1OH,Fortman Airport,40.5553253,-84.3866186,885,-5.0,U
