origin,year,month,day,hour,temp,dewp,humid,wind_dir,wind_speed,wind_gust,precip,pressure,visib,time_hour
EWR,2013.0,1.0,1,0,37.04,21.92,53.97,230.0,10.357019999999999,11.918651475599997,0.0,1013.9,10.0,2013-01-01T00:00:00Z
EWR,2013.0,1.0,1,1,37.04,21.92,53.97,230.0,13.809359999999998,15.891535300799996,0.0,1013.0,10.0,2013-01-01T01:00:00Z
EWR,2013.0,1.0,1,2,37.94,21.92,52.09,230.0,12.658579999999999,14.567240692399997,0.0,1012.6,10.0,2013-01-01T02:00:00Z
EWR,2013.0,1.0,1,3,37.94,23.0,54.51,230.0,13.809359999999998,15.891535300799996,0.0,1012.7,10.0,2013-01-01T03:00:00Z
EWR,2013.0,1.0,1,4,37.94,24.08,57.04,240.0,14.960139999999999,17.215829909199996,0.0,1012.8,10.0,2013-01-01T04:00:00Z
EWR,2013.0,1.0,1,6,39.02,26.06,59.37,270.0,10.357019999999999,11.918651475599997,0.0,1012.0,10.0,2013-01-01T06:00:00Z
EWR,2013.0,1.0,1,7,39.02,26.96,61.63,250.0,8.05546,9.2700622588,0.0,1012.3,10.0,2013-01-01T07:00:00Z
EWR,2013.0,1.0,1,8,39.02,28.04,64.43,240.0,11.5078,13.242946083999998,0.0,1012.5,10.0,2013-01-01T08:00:00Z
EWR,2013.0,1.0,1,9,39.92,28.04,62.21,250.0,12.658579999999999,14.567240692399997,0.0,1012.2,10.0,2013-01-01T09:00:00Z
EWR,2013.0,1.0,1,10,39.02,28.04,64.43,260.0,12.658579999999999,14.567240692399997,0.0,1011.9,10.0,2013-01-01T10:00:00Z
EWR,2013.0,1.0,1,11,37.94,28.04,67.21,240.0,11.5078,13.242946083999998,0.0,1012.4,10.0,2013-01-01T11:00:00Z
EWR,2013.0,1.0,1,12,39.02,28.04,64.43,240.0,14.960139999999999,17.215829909199996,0.0,1012.2,10.0,2013-01-01T12:00:00Z
EWR,2013.0,1.0,1,13,39.92,28.04,62.21,250.0,10.357019999999999,11.918651475599997,0.0,1012.2,10.0,2013-01-01T13:00:00Z
EWR,2013.0,1.0,1,14,39.92,28.04,62.21,260.0,14.960139999999999,17.215829909199996,0.0,1012.7,10.0,2013-01-01T14:00:00Z
EWR,2013.0,1.0,1,15,41.0,28.04,59.65,260.0,13.809359999999998,15.891535300799996,0.0,1012.4,10.0,2013-01-01T15:00:00Z
EWR,2013.0,1.0,1,16,41.0,26.96,57.06,260.0,14.960139999999999,17.215829909199996,0.0,1011.4,10.0,2013-01-01T16:00:00Z
EWR,2013.0,1.0,1,17,39.2,28.4,64.93,270.0,16.11092,18.5401245176,0.0,NA,10.0,2013-01-01T17:00:00Z
EWR,2013.0,1.0,1,18,39.2,28.4,64.93,330.0,14.960139999999999,17.215829909199996,0.0,NA,10.0,2013-01-01T18:00:00Z
EWR,2013.0,1.0,1,19,39.02,24.08,54.68,280.0,13.809359999999998,15.891535300799996,0.0,1010.8,10.0,2013-01-01T19:00:00Z
EWR,2013.0,1.0,1,20,37.94,24.08,57.04,290.0,9.20624,10.594356867199998,0.0,1011.9,10.0,2013-01-01T20:00:00Z
